KeyParcelId,Additional Parcel Indexes,Parcel Address,,
R72 5169120004,,635 Liscum Dr,,
R72 17105 0002,,Becker Dr,,
R72 08707 0019,,246 S Conover St,,
R72 07011 0049,70,516 Delaware Ave,,
R72 10410 0017,,S Broadway St,,
R72 16209 0032,,1859 Kipling Dr,,
R72 04001 0044,,515 Carlisle Ave,,
R72 12013 0007,,1423 Chadwick Dr,,
R72 11202 0009,,504 W Hillcrest Ave,,
R72 12702 0063,,3728 W Second St,,
R72 11910 0034,,1641-1647 Harold Ave,,
